description,sales,quantity,avg_price
 4 PURPLE FLOCK DINNER CANDLES,265.66,138,1.925072464
 50'S CHRISTMAS GIFT BAG LARGE,2272.25,1885,1.205437666
 DOLLY GIRL BEAKER,2754.5,2394,1.150584795
 I LOVE LONDON MINI BACKPACK,1449.85,359,4.038579387
 I LOVE LONDON MINI RUCKSACK,4.15,1,4.15
 NINE DRAWER OFFICE TIDY,777.9,54,14.40555556
 OVAL WALL MIRROR DIAMANTE ,1050,120,8.75
 RED SPOT GIFT BAG LARGE,2023.5,1686,1.200177936
 SET 2 TEA TOWELS I LOVE LONDON ,7190.95,2621,2.743590233
 SPACEBOY BABY GIFT SET,7048.55,449,15.69832962
 TOADSTOOL BEDSIDE LIGHT ,17.9,2,8.95
 TRELLIS COAT RACK,1016.55,217,4.684562212
10 COLOUR SPACEBOY PEN,5209.17,6267,0.831206319
12 COLOURED PARTY BALLOONS,1359.65,2089,0.650861656
12 DAISY PEGS IN WOOD BOX,531.3,322,1.65
12 EGG HOUSE PAINTED WOOD,1425.27,111,12.84027027
12 HANGING EGGS HAND PAINTED,83.2,40,2.08
12 IVORY ROSE PEG PLACE SETTINGS,936.25,749,1.25
12 MESSAGE CARDS WITH ENVELOPES,2578.65,1621,1.590777298
12 PENCIL SMALL TUBE WOODLAND,2545.3,3998,0.636643322
12 PENCILS SMALL TUBE RED RETROSPOT,4096.65,6393,0.64080244
12 PENCILS SMALL TUBE SKULL,4230.55,6727,0.628891036
12 PENCILS TALL TUBE POSY,1161.18,3782,0.307028027
12 PENCILS TALL TUBE RED RETROSPOT,2240.31,2643,0.847639047
12 PENCILS TALL TUBE SKULLS,1705.66,2014,0.846901688
12 PENCILS TALL TUBE WOODLAND,1571.65,1849,0.85
12 PINK HEN+CHICKS IN BASKET,104.55,41,2.55
12 PINK ROSE PEG PLACE SETTINGS,267.5,214,1.25
12 RED ROSE PEG PLACE SETTINGS,490,392,1.25
15 PINK FLUFFY CHICKS IN BOX,29.5,10,2.95
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266,7.404976303
16 PC CUTLERY SET PANTRY DESIGN,63.8,4,15.95
16 PIECE CUTLERY SET PANTRY DESIGN,3018.3,210,14.37285714
18PC WOODEN CUTLERY SET DISPOSABLE,595.15,503,1.183200795
2 DAISIES HAIR COMB,17.7,6,2.95
2 PICTURE BOOK EGGS EASTER BUNNY,197.5,158,1.25
2 PICTURE BOOK EGGS EASTER CHICKS,201.25,161,1.25
2 PICTURE BOOK EGGS EASTER DUCKS,143.75,115,1.25
20 DOLLY PEGS RETROSPOT,3017.5,2346,1.286231884
200 BENDY SKULL STRAWS,705.05,637,1.106828885
200 RED + WHITE BENDY STRAWS,912.27,759,1.201936759
3 BIRDS CANVAS SCREEN,2.04,2,1.02
3 BLACK CATS W HEARTS BLANK CARD,4.56,24,0.19
3 DRAWER ANTIQUE WHITE WOOD CABINET,6124.13,707,8.662135785
3 GARDENIA MORRIS BOXED CANDLES,840.29,489,1.718384458
3 HEARTS HANGING DECORATION RUSTIC,8013.71,2845,2.816769772
3 HOOK HANGER MAGIC GARDEN,2911.65,1615,1.802879257
3 HOOK PHOTO SHELF ANTIQUE WHITE,12160.08,1706,7.127831184
3 PIECE SPACEBOY COOKIE CUTTER SET,5026.24,2510,2.002486056
3 PINK HEN+CHICKS IN BASKET,15,12,1.25
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1624.5,1782,0.911616162
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,606.28,676,0.896863905
3 ROSE MORRIS BOXED CANDLES,1555.64,1068,1.45659176
3 STRIPEY MICE FELTCRAFT,5460.5,2914,1.873884695
3 TIER CAKE TIN GREEN AND CREAM,4924.66,362,13.60403315
3 TIER CAKE TIN RED AND CREAM,8737.78,652,13.40150307
3 TIER SWEETHEART GARDEN SHELF,1938.25,55,35.24090909
3 TRADITIONAL COOKIE CUTTERS  SET,304.2,162,1.877777778
3 TRADITIONAl BISCUIT CUTTERS  SET,2418.02,1154,2.095337955
3 WHITE CHOC MORRIS BOXED CANDLES,1357.44,880,1.542545455
3 WICK CHRISTMAS BRIAR CANDLE ,7.5,2,3.75
36 DOILIES DOLLY GIRL,1294.85,893,1.45
36 DOILIES VINTAGE CHRISTMAS,7004.8,5152,1.359627329
36 FOIL HEART CAKE CASES,3814.37,1998,1.909094094
36 FOIL STAR CAKE CASES ,1912.34,997,1.918094283
36 PENCILS TUBE POSY,33.75,27,1.25
36 PENCILS TUBE RED RETROSPOT,4227.26,3518,1.201608869
36 PENCILS TUBE SKULLS,2009.43,1627,1.235052243
36 PENCILS TUBE WOODLAND,1969.43,1595,1.234752351
3D CHRISTMAS STAMPS STICKERS ,1361.95,1075,1.266930233
3D DOG PICTURE PLAYING CARDS,855.5,290,2.95
3D HEARTS  HONEYCOMB PAPER GARLAND,838.5,294,2.852040816
3D SHEET OF CAT STICKERS,183.6,216,0.85
3D SHEET OF DOG STICKERS,231.98,272,0.852867647
3D TRADITIONAL CHRISTMAS STICKERS,1882.31,1471,1.279612508
3D VINTAGE CHRISTMAS STICKERS ,1930.38,1522,1.268318003
4 BLUE DINNER CANDLES SILVER FLOCK,216.75,85,2.55
4 BURGUNDY WINE DINNER CANDLES,53.75,43,1.25
4 IVORY DINNER CANDLES SILVER FLOCK,913.74,450,2.030533333
