description,sales,quantity,avg_price
 4 PURPLE FLOCK DINNER CANDLES,265.65999999999997,138,1.9250724637681158
 50'S CHRISTMAS GIFT BAG LARGE,2272.25,1885,1.2054376657824935
 DOLLY GIRL BEAKER,2754.5,2394,1.1505847953216375
 I LOVE LONDON MINI BACKPACK,1449.8500000000001,359,4.03857938718663
 I LOVE LONDON MINI RUCKSACK,4.15,1,4.15
 NINE DRAWER OFFICE TIDY,777.9,54,14.405555555555555
 OVAL WALL MIRROR DIAMANTE ,1050.0,120,8.75
 RED SPOT GIFT BAG LARGE,2023.5,1686,1.2001779359430604
 SET 2 TEA TOWELS I LOVE LONDON ,7190.95,2621,2.743590232735597
 SPACEBOY BABY GIFT SET,7048.549999999999,449,15.698329621380845
 TOADSTOOL BEDSIDE LIGHT ,17.9,2,8.95
 TRELLIS COAT RACK,1016.5500000000001,217,4.684562211981567
10 COLOUR SPACEBOY PEN,5209.17,6267,0.8312063188128291
12 COLOURED PARTY BALLOONS,1359.65,2089,0.650861656294878
12 DAISY PEGS IN WOOD BOX,531.3,322,1.65
12 EGG HOUSE PAINTED WOOD,1425.27,111,12.84027027027027
12 HANGING EGGS HAND PAINTED,83.2,40,2.08
12 IVORY ROSE PEG PLACE SETTINGS,936.25,749,1.25
12 MESSAGE CARDS WITH ENVELOPES,2578.6499999999996,1621,1.5907772979642194
12 PENCIL SMALL TUBE WOODLAND,2545.3,3998,0.6366433216608305
12 PENCILS SMALL TUBE RED RETROSPOT,4096.650000000001,6393,0.6408024401689348
12 PENCILS SMALL TUBE SKULL,4230.55,6727,0.6288910361230861
12 PENCILS TALL TUBE POSY,1161.1799999999998,3782,0.3070280274986779
12 PENCILS TALL TUBE RED RETROSPOT,2240.31,2643,0.8476390465380249
12 PENCILS TALL TUBE SKULLS,1705.6599999999999,2014,0.8469016881827209
12 PENCILS TALL TUBE WOODLAND,1571.6499999999999,1849,0.85
12 PINK HEN+CHICKS IN BASKET,104.55,41,2.55
12 PINK ROSE PEG PLACE SETTINGS,267.5,214,1.25
12 RED ROSE PEG PLACE SETTINGS,490.0,392,1.25
15 PINK FLUFFY CHICKS IN BOX,29.5,10,2.95
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266,7.404976303317536
16 PC CUTLERY SET PANTRY DESIGN,63.8,4,15.95
16 PIECE CUTLERY SET PANTRY DESIGN,3018.2999999999997,210,14.372857142857141
18PC WOODEN CUTLERY SET DISPOSABLE,595.15,503,1.183200795228628
2 DAISIES HAIR COMB,17.700000000000003,6,2.9500000000000006
2 PICTURE BOOK EGGS EASTER BUNNY,197.5,158,1.25
2 PICTURE BOOK EGGS EASTER CHICKS,201.25,161,1.25
